Method,Stability_Spearman_Noise_Mean,Stability_Spearman_Noise_CI_Low,Stability_Spearman_Noise_CI_High,Stability_Spearman_Masking_Mean,Stability_Spearman_Masking_CI_Low,Stability_Spearman_Masking_CI_High,Stability_Top10_Noise_Overlap_Mean,Stability_Top10_Noise_Overlap_CI_Low,Stability_Top10_Noise_Overlap_CI_High,Stability_Top10_Masking_Overlap_Mean,Stability_Top10_Masking_Overlap_CI_Low,Stability_Top10_Masking_Overlap_CI_High,Fidelity_vs_Permutation_Spearman_Mean,Fidelity_vs_Permutation_Spearman_CI_Low,Fidelity_vs_Permutation_Spearman_CI_High,Fidelity_vs_GradInput_Spearman_Mean,Fidelity_vs_GradInput_Spearman_CI_Low,Fidelity_vs_GradInput_Spearman_CI_High,Top10_Clinical_Overlap,Weighted_Clinical_Overlap,Clinical_Precision,Clinical_Recall,Clinical_Top10_Overlap_Features
Captum IG,0.7369688392462399,0.7303950939330657,0.7468924509143621,0.7270736843511862,0.7157323279687354,0.7453483755221543,0.714,0.701,0.726,0.7516666666666666,0.7300000000000001,0.7633333333333333,0.5113343593056023,0.5043476532698705,0.5185578896064377,0.7193102596172921,0.7123512516560575,0.7260192136724065,5,0.4938835150548086,0.5,0.35714285714285715,"age_at_admission, glucose_max, platelet_min, icd_count, procedure_icd_count"
SHAP,0.5636230769230769,0.514076923076923,0.6105809615384616,0.6486153846153845,0.6105512820512821,0.7150769230769228,0.6659999999999999,0.63745,0.6869999999999999,0.7133333333333333,0.68,0.7342500000000001,0.7238492307692309,0.7184133846153846,0.7292005384615384,0.7254400000000001,0.7206598461538462,0.7304470000000001,5,0.46408641016306446,0.5,0.35714285714285715,"age_at_admission, icd_count, platelet_min, glucose_max, bilirubin_max"
LIME,0.3466,0.23223692307692312,0.49646615384615395,0.3638461538461539,0.12584615384615386,0.711423076923077,0.58,0.49000000000000005,0.654775,0.615,0.5066666666666667,0.7827500000000005,0.47630461538461544,0.4688476153846154,0.48221761538461544,0.12412615384615384,0.117593,0.1301483076923077,4,0.48025835380579723,0.4,0.2857142857142857,"ventilator_event_count, spo2_min, age_at_admission, mean_bp"
