Method,Stability_Spearman_Noise_Mean,Stability_Spearman_Noise_CI_Low,Stability_Spearman_Noise_CI_High,Stability_Spearman_Masking_Mean,Stability_Spearman_Masking_CI_Low,Stability_Spearman_Masking_CI_High,Stability_Top10_Noise_Overlap_Mean,Stability_Top10_Masking_Overlap_Mean,Fidelity_vs_Permutation_Spearman_Mean,Fidelity_vs_Permutation_Spearman_CI_Low,Fidelity_vs_Permutation_Spearman_CI_High,Fidelity_vs_GradInput_Spearman_Mean,Fidelity_vs_GradInput_Spearman_CI_Low,Fidelity_vs_GradInput_Spearman_CI_High,Top10_Clinical_Overlap,Clinical_Top10_Overlap_Features,Weighted_Clinical_Overlap,Clinical_Precision,Clinical_Recall,RecordType,SHAP_vs_Captum_Spearman,LIME_vs_Captum_Spearman,SHAP_vs_LIME_Spearman,SHAP_vs_Captum_Top10_Overlap,LIME_vs_Captum_Top10_Overlap,SHAP_vs_LIME_Top10_Overlap,Feature,Clinically_Validated,Model_Permutation,GradInput_Baseline,Captum_IG,SHAP,LIME,Model_Permutation_Rank,GradInput_Baseline_Rank,Captum_IG_Rank,SHAP_Rank,LIME_Rank,Comparison,Wilcoxon_stat,p_value,p_adj_bonferroni,Rank_Biserial,Effect_size_label,Significance_Label,Implication,Stability_Top10_Noise_Overlap_CI_Low,Stability_Top10_Noise_Overlap_CI_High,Stability_Top10_Masking_Overlap_CI_Low,Stability_Top10_Masking_Overlap_CI_High
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,heart_rate_mean,True,0.02979849902044516,0.030649623,0.023038675231930615,0.023959240622650313,0.021246511731618317,4.0,6.0,15.0,17.0,17.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,resp_rate_mean,True,0.003564157331592055,0.0066120187,0.0034487522995714634,0.010377587979644274,0.014101885720059246,19.0,20.0,23.0,22.0,24.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,spo2_min,True,0.02615313206409824,0.019837376,0.03170770039336376,0.0334808069725165,0.08480570686151354,5.0,9.0,12.0,11.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,mean_bp,True,0.006571011202089893,0.015134792,0.03214178459146877,0.029964028197859614,0.05437891989567608,15.0,12.0,11.0,15.0,8.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,temp_max,True,0.0032858713015523787,0.00630123,0.02360399647404877,0.012567334387775232,0.03758846767199266,21.0,21.0,14.0,20.0,11.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,wbc_max,True,0.00034404782237420497,2.7982639e-11,0.0,0.0003850466949390713,0.01960097447144862,25.0,25.0,25.0,25.0,20.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,creatinine_max,True,0.004715679911589077,0.0040946724,0.013816588279021802,0.012111667132371844,0.022722034541330885,17.0,23.0,18.0,21.0,15.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,bilirubin_max,True,0.010791331692369566,0.028472643,0.006879565833096513,0.03564061549940615,0.013633615721906439,12.0,7.0,21.0,10.0,25.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,platelet_min,True,0.012004251770734142,0.03403989,0.05760351479971275,0.05009726474261139,0.020814699180769888,11.0,5.0,6.0,8.0,18.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,glucose_max,True,0.009311755663836995,0.034915373,0.08599373687479729,0.0515240826534761,0.02894262853680571,13.0,4.0,3.0,5.0,14.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,ventilator_event_count,True,0.019357982619179447,0.008068224,0.013657633272344576,0.029665410141655146,0.0989981783198804,7.0,19.0,19.0,16.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PairwiseStats,,,,,,,,,,,,,,,,,,,SHAP vs Captum_IG,161.0,0.978915274143219,1.0,-0.009230769230769232,negligible,no statistically reliable difference detected,SHAP vs Captum_IG: no statistically reliable difference detected; any observed difference was negligible in magnitude and is best treated as inconclusive in this run.,,,,
,,,,,,,,,,,,,,,,,,,,PairwiseStats,,,,,,,,,,,,,,,,,,,LIME vs Captum_IG,154.0,0.8325093984603882,1.0,0.052307692307692305,negligible,no statistically reliable difference detected,LIME vs Captum_IG: no statistically reliable difference detected; any observed difference was negligible in magnitude and is best treated as inconclusive in this run.,,,,
,,,,,,,,,,,,,,,,,,,,PairwiseStats,,,,,,,,,,,,,,,,,,,SHAP vs LIME,156.0,0.8739878535270691,1.0,-0.04,negligible,no statistically reliable difference detected,SHAP vs LIME: no statistically reliable difference detected; any observed difference was negligible in magnitude and is best treated as inconclusive in this run.,,,,
