Feature,Permutation,GradInput,Captum_IG,SHAP,LIME,Clinically_Validated
age_at_admission,0.07419270005525709,0.15437636,0.13348879289379925,0.13230294217955607,0.07911250438370716,1
gender,0.000877150750992306,0.012824958,0.02824192571555197,0.032389588936529094,0.03896202413302431,0
icd_count,0.014985554829959469,0.01884605,0.05563767925495081,0.058727603996090526,0.015783284215232143,1
icu_stay_count,0.00399462299693587,0.010979163,0.00257546828386605,0.03010962526814779,0.021897536207739515,0
procedure_icd_count,0.005439357010097146,0.013402972,0.04843486827205764,0.014819212878913076,0.020441859350340662,1
procedure_row_count,0.0034297885166023833,0.01814346,0.043351236846902695,0.032769180141142884,0.016083793838984093,0
lab_count,0.06318218114231193,0.1002823,0.17113829961305085,0.16900488926806467,0.07401457754653544,0
chart_count,0.021864405485507787,0.023350708,0.062990065024915,0.06113345767701718,0.03507761214307715,0
lab_avg,0.015851903350580378,0.055954024,0.06957382546824806,0.05272113627101756,0.061468663748392036,0
lab_min,0.03817242979856352,0.012732971,0.0193609010290688,0.05109513117253113,0.06569454308258017,0
lab_max,0.002837723413874671,0.014780477,0.008846608790242376,0.014684705598970749,0.01873397674250325,0
chart_avg,0.008998619581052036,0.009785384,0.04354605846710855,0.011336897445904664,0.05650880820852472,0
chart_min,0.018313887577234334,0.0050155083,0.015437554752071217,0.0430548002482677,0.03265482570584694,0
chart_max,0.0019315818556288277,0.002089224,0.005484767538810433,0.007363729914656976,0.04673236804051062,0
heart_rate_mean,0.02979849902044516,0.030649623,0.023038675231930615,0.024882751168507015,0.021246511731618317,1
resp_rate_mean,0.003564157331592055,0.0066120187,0.0034487522995714634,0.009422353659024166,0.014101885720059246,1
spo2_min,0.02615313206409824,0.019837376,0.03170770039336376,0.032731184161577234,0.08480570686151354,1
mean_bp,0.006571011202089893,0.015134792,0.03214178459146877,0.029891761877627106,0.05437891989567608,1
temp_max,0.0032858713015523787,0.00630123,0.02360399647404877,0.013208284658495457,0.03758846767199266,1
wbc_max,0.00034404782237420497,2.7982639e-11,0.0,0.00037318702535998557,0.01960097447144862,1
creatinine_max,0.004715679911589077,0.0040946724,0.013816588279021802,0.01297730225875405,0.022722034541330885,1
bilirubin_max,0.010791331692369566,0.028472643,0.006879565833096513,0.03422221136388888,0.013633615721906439,1
platelet_min,0.012004251770734142,0.03403989,0.05760351479971275,0.052132418371276155,0.020814699180769888,1
glucose_max,0.009311755663836995,0.034915373,0.08599373687479729,0.04909459462412421,0.02894262853680571,1
ventilator_event_count,0.019357982619179447,0.008068224,0.013657633272344576,0.029551049834555643,0.0989981783198804,1
